"","Name","code","individual","day","experiment","treatment","planed_treatment","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5"
"X18.8","X18.8","exp18.8",18,8,"experiment","dark","dark",557.908691263355,1.39129349442233,3.33161302000731,0.0742482138484129,0.0858917987934162,0.156349291597043,0.283077578627301,0.247695618053909,0.492721622453924,11.0233536062232,0.291352452588693,0.012763605611938,240.97820364342,3.02938076483168,-0.00188359619027852,2.17738441024586,0.786229773399145,0.0277912758779604,700,368,602,0.519550812485043,619
"X19.8","X19.8","exp19.8",19,8,"experiment","dark","dark",1358.12310239983,3.38684065436365,5.12050052763815,0.157761475059602,0.182475229091895,0.220995084191735,0.293353593535767,0.254639062373167,0.335515367811099,3.92598598722167,0.183312346160739,0.0267785727497296,286.703940219564,3.81624204472344,-0.286830719860576,1.12678523561672,0.480249229182729,0.0301737004052836,700,618,502,0.73647220425269,300
"X20.8","X20.8","exp20.8",20,8,"experiment","natural","natural",1757.57519834377,4.38298054449817,8.04969737872917,0.128892061354107,0.148529015964712,0.190428556475774,0.28628108012855,0.258608791815881,0.401536825886578,5.4381855490639,0.226032064189353,0.0181000854888098,523.704539112074,6.56947988594524,-0.232793901793839,1.49886129296004,0.629831993598937,0.0271295175384448,700,356,537,0.569987629859698,300
"X21.8","X21.8","exp21.8",21,8,"experiment","natural","natural",2061.80807675691,5.14166602682521,8.15288778034442,0.160791593639863,0.183684906690925,0.200469976620335,0.28620192948171,0.256565609885818,0.359898353913958,2.79060789218145,0.197885281606423,0.02389572511753,488.955168179401,5.23134233385347,-0.144576248030061,1.01744109916132,0.555647533412614,0.0243124928288366,700,618,538,0.573772054019207,568
"X22.8","X22.8","exp22.8",22,8,"experiment","dark","dark",1811.57572989808,4.51764521171591,8.1824766711044,0.0952191701241814,0.112382739657019,0.182231241314343,0.322294616971632,0.293541300348401,0.407872231172854,28.8283753670384,0.223751441636417,0.0347410995223498,639.074161257057,7.89864254701914,-0.449591241156117,1.74839815365206,0.647864874396691,0.0607412742607188,700,618,510,0.703695607397992,300
"X1.9","X1.9","exp1.9",1,9,"experiment","light","light",3440.91053178797,8.58082426879794,15.7817577281102,0.124279506628433,0.144178155710512,0.190057621971675,0.289160728641636,0.262241382167669,0.403760301541839,6.40653378298359,0.226376211311832,0.04758340455039,1048.26324744436,13.3183729614477,-0.263034409547775,1.55210881195606,0.63422586515817,0.0738546215055306,700,356,533,0.584830759147844,300
"X2.9","X2.9","exp2.9",2,9,"experiment","dark","dark",1095.18469291569,2.73113389754536,3.2256984210017,0.221760168573295,0.253738208448964,0.255043467887665,0.257486917022329,0.215122506116429,0.273145500199547,1.75180092248138,0.283068354822411,0.0186162024837904,78.8817872457097,1.38433712269128,-0.904650176247224,0.506872667039674,0.209342876361622,0.00943604420310944,592,357,323,0.669902628970028,300
"X3.9","X3.9","exp3.9",3,9,"experiment","light","light",2879.43114222608,7.1806262898406,11.222821867982,0.130378340107885,0.151333059540029,0.20301686139525,0.30879094193012,0.27031613764598,0.365394186542426,6.11528062060591,0.275702170007665,0.0369449296839992,792.004759719676,9.38761224077931,-0.390468912843371,1.30735284943895,0.550730474200174,0.0483000590946978,679,619,499,0.72890866569369,300
"X4.9","X4.9","exp4.9",4,9,"experiment","light","light",2708.82496497904,6.75517447625695,10.9368668006061,0.147597234213884,0.169083301150665,0.204347532331303,0.294388709823294,0.259193088476593,0.361075070180827,4.06063257986199,0.19930914674457,0.0308606208956599,676.099269621285,8.24347689509098,-0.262005811942778,1.22032035205976,0.561758545991911,0.0376598437561745,700,356,518,0.653793938989828,300
"X5.9","X5.9","exp5.9",5,9,"experiment","light","light",1874.15544782034,4.67370435865421,7.6215219625746,0.113554014266218,0.133241445525568,0.192444330020079,0.318575461617118,0.283641665064613,0.383077296608093,9.6913976825907,0.206879805685057,0.02311798458111,586.260864307792,6.8351006214851,-0.425617360197978,1.46245891844414,0.582097909458083,0.0338091027270985,700,618,503,0.727516941179531,301
"X6.9","X6.9","exp6.9",6,9,"experiment","light","light",2529.12035939265,6.30703331519365,11.2916907064882,0.104907339523721,0.124226145791707,0.193827789017118,0.307380027211214,0.274964897182098,0.401377573071805,27.4973743495769,0.222727944397868,0.0401711920987902,818.967024434237,10.8810445639534,-0.426231821741276,1.72522389214926,0.61660580694829,0.0693043003849504,700,356,506,0.689446147033811,302
"X7.9","X7.9","exp7.9",7,9,"experiment","dark","dark",1483.01018408413,3.69827976080831,7.13071778854566,0.141800461415207,0.162811114420786,0.199545273777554,0.278314202138585,0.251242453152663,0.387498988291806,6.94319756467582,0.223002124788518,0.0207278606516401,396.433073273753,6.10371002704628,-0.112512522849443,1.6504186870147,0.630380452936663,0.0342096485613035,700,356,552,0.552238907105404,300
"X8.9","X8.9","exp8.9",8,9,"experiment","natural","natural",1881.56911592854,4.69219230904872,8.25578339839543,0.121966872371997,0.141309872511598,0.180874387209643,0.309033976930491,0.284587278971145,0.395523922650386,7.44453620267201,0.217744579995445,0.0353817541760399,594.248323647252,7.14681123765394,-0.334804118833621,1.52312837303611,0.638857956204941,0.0538909536733154,700,618,524,0.631863206700383,300
"X9.9","X9.9","exp9.9",9,9,"experiment","light","light",2020.38784800217,5.03837368579094,7.66933350823136,0.143269275072708,0.165346089037065,0.20883096323435,0.306738058234763,0.270205687749895,0.348801379667577,5.1213782608581,0.355483384704269,0.0435298574722003,501.217586075431,6.17181992544313,-0.352705357558496,1.22496271819788,0.508596642253516,0.0533224525319126,596,618,499,0.74388324502469,300
"X10.9","X10.9","exp10.9",10,9,"experiment","natural","natural",2422.90088905524,6.04214685549936,7.91085139890201,0.208516832760957,0.238406805178247,0.240110475325164,0.264044086129641,0.228192135467778,0.294871480802256,1.80783611259356,0.160156214623775,0.0551056950547002,275.66669597676,3.53498383889794,0.0962402493811154,0.585054273495607,0.332074506291349,0.0322398223856981,700,618,552,0.589303762565857,568
