wl;1;2;3;4;5;6
385,613;0,57;0,47;0,33;0,57;-0,2;0,52
386,081;0,57;0,48;0,44;0,66;-0,22;0,55
386,549;0,57;0,43;0,46;0,66;-0,29;0,5
387,017;0,56;0,34;0,39;0,59;-0,34;0,46
387,486;0,53;0,37;0,31;0,58;-0,32;0,52
387,954;0,5;0,32;0,24;0,51;-0,32;0,43
388,422;0,49;0,35;0,24;0,45;-0,28;0,38
388,89;0,53;0,44;0,25;0,48;-0,24;0,47
389,358;0,53;0,46;0,26;0,51;-0,2;0,48
389,826;0,63;0,46;0,32;0,62;-0,13;0,48
390,294;0,65;0,47;0,35;0,71;-0,04;0,59
390,762;0,68;0,48;0,36;0,77;0;0,65
391,23;0,68;0,47;0,31;0,75;-0,04;0,62
391,698;0,73;0,47;0,27;0,68;-0,02;0,58
392,166;0,67;0,41;0,25;0,63;0;0,51
392,634;0,66;0,36;0,32;0,64;0;0,43
393,102;0,65;0,37;0,39;0,64;-0,04;0,46
393,57;0,64;0,35;0,44;0,63;-0,05;0,47
394,038;0,67;0,32;0,49;0,67;0,03;0,43
394,505;0,72;0,33;0,52;0,66;0,07;0,41
394,973;0,73;0,32;0,48;0,54;0,06;0,41
395,441;0,65;0,23;0,4;0,42;0,01;0,29
395,909;0,65;0,15;0,41;0,36;-0,06;0,2
396,376;0,69;0,15;0,46;0,36;-0,02;0,15
396,844;0,61;0,21;0,4;0,33;-0,06;0,18
397,312;0,58;0,28;0,37;0,36;-0,08;0,25
397,779;0,56;0,22;0,35;0,31;-0,11;0,21
398,247;0,61;0,22;0,29;0,31;-0,07;0,3
398,715;0,58;0,27;0,27;0,36;0;0,36
399,182;0,54;0,24;0,27;0,31;-0,01;0,27
399,65;0,53;0,29;0,2;0,31;-0,05;0,24
400,117;0,49;0,32;0,15;0,36;-0,11;0,23
400,585;0,59;0,39;0,22;0,44;-0,13;0,23
401,052;0,61;0,49;0,23;0,5;-0,13;0,3
401,52;0,63;0,53;0,2;0,53;-0,06;0,39
401,987;0,69;0,55;0,25;0,65;0,11;0,41
402,454;0,76;0,57;0,37;0,72;0,21;0,42
402,922;0,84;0,62;0,41;0,78;0,21;0,46
