ID,patch1,patch2,dS,dL,group,treatment,individual,day
564,dark,exp11.8,3.291506523,21.6213648,experiment,natural,11,8
124,natural,exp12.8,2.109138963,15.6146814,experiment,light,12,8
345,light,exp12.8,3.607661695,4.5657937,experiment,light,12,8
565,dark,exp12.8,2.756219633,30.8319089,experiment,light,12,8
125,natural,exp13.8,3.426732269,9.6708548,experiment,dark,13,8
346,light,exp13.8,4.902538765,10.5096204,experiment,dark,13,8
566,dark,exp13.8,3.999055311,24.8880823,experiment,dark,13,8
126,natural,exp14.8,1.71518499,9.5982109,experiment,dark,14,8
347,light,exp14.8,3.182428215,10.5822642,experiment,dark,14,8
567,dark,exp14.8,2.436514744,24.8154384,experiment,dark,14,8
127,natural,exp15.8,2.981145045,13.4034512,experiment,dark,15,8
348,light,exp15.8,4.370525299,6.7770239,experiment,dark,15,8
568,dark,exp15.8,3.820467461,28.6206787,experiment,dark,15,8
128,natural,exp16.8,4.58778073,8.08009,experiment,natural,16,8
349,light,exp16.8,6.09539511,12.1003851,experiment,natural,16,8
569,dark,exp16.8,4.943630694,23.2973175,experiment,natural,16,8
129,natural,exp17.8,3.462815344,15.8619677,experiment,light,17,8
350,light,exp17.8,5.000834232,4.3185074,experiment,light,17,8
570,dark,exp17.8,3.749345195,31.0791952,experiment,light,17,8
130,natural,exp18.8,6.158302998,0.4948902,experiment,dark,18,8
351,light,exp18.8,7.70326672,20.6753653,experiment,dark,18,8
571,dark,exp18.8,6.210523911,14.7223373,experiment,dark,18,8
131,natural,exp19.8,2.140681483,6.9682379,experiment,dark,19,8
352,light,exp19.8,3.599385992,13.2122372,experiment,dark,19,8
572,dark,exp19.8,2.869601483,22.1854654,experiment,dark,19,8
132,natural,exp20.8,3.708483315,10.4433072,experiment,natural,20,8
353,light,exp20.8,5.196295804,9.7371679,experiment,natural,20,8
573,dark,exp20.8,4.234964861,25.6605347,experiment,natural,20,8
133,natural,exp21.8,2.884500796,11.5666299,experiment,natural,21,8
354,light,exp21.8,4.272592086,8.6138452,experiment,natural,21,8
574,dark,exp21.8,3.709511864,26.7838574,experiment,natural,21,8
134,natural,exp22.8,5.135219799,11.6081955,experiment,dark,22,8
355,light,exp22.8,6.669491673,8.5722796,experiment,dark,22,8
575,dark,exp22.8,5.310988388,26.825423,experiment,dark,22,8
135,natural,exp1.9,3.883079282,17.2939184,experiment,light,1,9
356,light,exp1.9,5.379436752,2.8865567,experiment,light,1,9
576,dark,exp1.9,4.371412121,32.5111459,experiment,light,1,9
136,natural,exp2.9,1.044977883,2.9825132,experiment,dark,2,9
357,light,exp2.9,1.109034469,17.1979619,experiment,dark,2,9
577,dark,exp2.9,2.434823259,18.1997408,experiment,dark,2,9
137,natural,exp3.9,3.369935543,15.2654033,experiment,light,3,9
358,light,exp3.9,4.862791896,4.9150718,experiment,light,3,9
578,dark,exp3.9,3.793830392,30.4826309,experiment,light,3,9
138,natural,exp4.9,2.852046908,14.3028602,experiment,light,4,9
359,light,exp4.9,4.306203232,5.8776149,experiment,light,4,9
579,dark,exp4.9,3.504983186,29.5200877,experiment,light,4,9
139,natural,exp5.9,4.265578753,11.4778222,experiment,light,5,9
360,light,exp5.9,5.778361408,8.702653,experiment,light,5,9
580,dark,exp5.9,4.548259875,26.6950497,experiment,light,5,9
140,natural,exp6.9,4.306627085,14.4448966,experiment,light,6,9
361,light,exp6.9,5.840955479,5.7355785,experiment,light,6,9
581,dark,exp6.9,4.54658884,29.6621241,experiment,light,6,9
141,natural,exp7.9,2.992252484,8.3317739,experiment,dark,7,9
362,light,exp7.9,4.440501925,11.8487012,experiment,dark,7,9
582,dark,exp7.9,3.724044438,23.5490014,experiment,dark,7,9
