wl;1;2;3;4;5;6
349,952;1,37;0,46;2,11;1,65;1,54;0,67
350,422;1,37;0,46;2,05;1,59;1,46;0,64
350,892;1,33;0,51;2,08;1,51;1,52;0,69
351,362;1,37;0,6;2,11;1,45;1,46;0,62
351,832;1,37;0,47;1,92;1,3;1,45;0,56
352,302;1,26;0,36;1,76;1,12;1,47;0,5
352,772;1,26;0,39;1,82;1,13;1,5;0,59
353,242;1,34;0,33;2;1,23;1,46;0,52
353,712;1,24;0,35;2,08;1,26;1,51;0,53
354,182;1,27;0,36;2,18;1,33;1,46;0,69
354,652;1,52;0,43;2,35;1,41;1,51;0,68
355,122;1,7;0,57;2,56;1,54;1,6;0,81
355,592;1,89;0,68;2,68;1,61;1,75;1,03
356,062;1,89;0,58;2,74;1,62;1,76;1,04
356,532;1,86;0,43;2,65;1,67;1,78;0,98
357,001;1,82;0,46;2,78;1,75;1,76;1
357,471;1,83;0,51;2,87;1,82;1,73;1,09
357,941;1,77;0,42;2,73;1,63;1,63;0,96
358,411;1,69;0,37;2,64;1,56;1,58;0,97
358,88;1,68;0,44;2,54;1,59;1,62;1,02
359,35;1,53;0,52;2,42;1,58;1,63;0,94
359,82;1,5;0,53;2,4;1,66;1,75;1,02
360,289;1,42;0,49;2,35;1,61;1,72;1,03
360,759;1,17;0,37;2,17;1,51;1,58;0,89
361,229;1,29;0,53;2,25;1,62;1,64;0,91
361,698;1,29;0,62;2,25;1,62;1,55;0,95
362,168;1,46;0,74;2,26;1,61;1,64;0,95
362,637;1,45;0,74;2,29;1,57;1,72;0,95
363,107;1,28;0,66;2,28;1,63;1,7;0,96
363,576;1,37;0,77;2,36;1,72;1,83;0,97
364,046;1,51;0,78;2,52;1,74;1,8;0,99
364,515;1,61;0,72;2,5;1,76;1,73;0,97
364,984;1,61;0,73;2,54;1,77;1,62;0,95
365,454;1,45;0,71;2,52;1,77;1,65;0,93
365,923;1,52;0,75;2,64;1,8;1,74;0,91
366,392;1,46;0,71;2,67;1,72;1,7;0,91
366,862;1,5;0,65;2,71;1,65;1,84;0,95
367,331;1,38;0,54;2,6;1,59;1,77;1
367,8;1,44;0,48;2,69;1,58;1,7;0,98
368,269;1,63;0,51;2,77;1,59;1,87;1,05
368,739;1,56;0,4;2,67;1,46;1,69;0,94
369,208;1,43;0,29;2,56;1,47;1,59;0,85
369,677;1,3;0,31;2,59;1,43;1,72;0,88
370,146;1,22;0,36;2,48;1,32;1,83;0,86
370,615;1,37;0,38;2,46;1,26;1,8;0,83
371,084;1,41;0,4;2,5;1,31;1,87;0,85
371,553;1,45;0,34;2,54;1,37;1,87;0,85
372,022;1,37;0,4;2,6;1,45;1,85;0,87
372,491;1,31;0,37;2,68;1,5;1,85;0,8
372,96;1,34;0,48;2,67;1,58;1,94;0,83
373,429;1,23;0,6;2,72;1,64;1,89;0,81
373,898;1,27;0,74;2,9;1,8;2,09;0,96
374,367;1,38;0,79;3,02;1,77;2,19;1,08
374,836;1,46;0,78;3,09;1,87;2,18;1,07
375,305;1,54;0,64;3,1;1,89;2,02;0,98
375,773;1,51;0,51;3,13;1,89;1,96;0,86
376,242;1,52;0,49;3,12;2,02;1,95;0,96
376,711;1,38;0,47;2,99;1,89;1,89;0,9
377,18;1,41;0,5;3,03;1,87;1,94;0,79
377,648;1,4;0,57;3,05;1,84;1,97;0,85
378,117;1,34;0,47;3,02;1,75;1,89;0,85
378,586;1,31;0,33;2,96;1,67;1,82;0,81
379,054;1,36;0,32;2,82;1,66;1,83;0,78
379,523;1,35;0,25;2,76;1,61;1,78;0,76
379,992;1,35;0,24;2,69;1,58;1,82;0,79
380,46;1,27;0,15;2,64;1,56;1,81;0,78
380,929;1,43;0,31;2,81;1,7;1,89;0,94
381,397;1,42;0,4;2,73;1,59;1,83;0,83
381,866;1,5;0,43;2,82;1,7;1,89;0,85
382,334;1,43;0,39;2,83;1,68;1,8;0,91
382,803;1,39;0,4;2,84;1,68;1,8;0,84
383,271;1,34;0,43;2,67;1,63;1,77;0,75
383,739;1,5;0,46;2,7;1,68;1,79;0,72
384,208;1,46;0,45;2,82;1,66;1,76;0,71
384,676;1,4;0,47;2,89;1,63;1,81;0,72
385,144;1,44;0,52;3,12;1,59;1,85;0,69
385,613;1,51;0,72;3,18;1,69;1,96;0,74
386,081;1,42;0,71;3,04;1,6;1,94;0,74
386,549;1,37;0,66;3,11;1,6;2;0,84
387,017;1,36;0,66;3,15;1,58;1,97;0,85
387,486;1,58;0,73;3,21;1,67;2,13;0,85
387,954;1,71;0,77;3,23;1,75;2,3;1
388,422;1,67;0,77;3,24;1,76;2,24;0,99
388,89;1,68;0,88;3,34;1,86;2,34;1,07
389,358;1,73;0,95;3,26;1,81;2,4;1,02
389,826;1,76;0,97;3,17;1,88;2,39;0,98
390,294;1,75;0,91;3,04;1,85;2,29;0,93
390,762;1,57;0,81;2,99;1,75;2,18;0,89
391,23;1,48;0,78;3,03;1,7;2,19;0,89
391,698;1,58;0,74;3,04;1,7;2,06;0,83
392,166;1,61;0,65;2,98;1,71;2,08;0,79
392,634;1,57;0,59;2,92;1,68;1,98;0,82
393,102;1,55;0,57;2,9;1,66;1,89;0,77
393,57;1,6;0,55;2,98;1,76;1,99;0,84
394,038;1,61;0,53;2,91;1,72;1,93;0,79
394,505;1,57;0,52;2,89;1,74;1,98;0,81
394,973;1,63;0,52;2,9;1,76;1,96;0,77
395,441;1,72;0,61;2,91;1,85;2,06;0,87
395,909;1,86;0,71;2,98;1,88;2,16;0,94
396,376;1,88;0,69;2,94;1,9;2,15;0,89
396,844;1,88;0,71;2,96;1,93;2,27;0,92
397,312;1,9;0,87;2,99;1,95;2,36;1,08
397,779;1,84;0,92;2,89;1,91;2,39;1,04
398,247;1,84;0,88;2,94;1,96;2,35;0,97
398,715;1,85;0,9;2,93;1,9;2,38;0,96
399,182;1,75;0,88;2,9;1,82;2,29;1,01
399,65;1,8;0,87;2,87;1,93;2,23;1,06
400,117;1,73;0,95;2,87;1,96;2,36;1,14
400,585;1,6;0,97;2,82;1,92;2,25;1,11
401,052;1,55;0,89;2,82;1,99;2,15;1,11
401,52;1,58;0,95;2,83;2,06;2,17;1,22
401,987;1,61;1,01;2,87;2,17;2,19;1,28
402,454;1,56;0,9;2,9;2,16;2,11;1,14
402,922;1,47;0,78;2,95;2,15;2,06;1,07
403,389;1,55;0,78;2,99;2,14;2,09;1,2
403,856;1,52;0,8;3,01;2,15;2,16;1,17
404,324;1,54;0,84;3,07;2,22;2,26;1,15
404,791;1,5;0,77;3,1;2,16;2,23;1,11
405,258;1,55;0,75;3,14;2,12;2,18;1,07
405,725;1,52;0,6;3,12;2,04;2,24;0,99
406,193;1,71;0,67;3,15;2,11;2,42;1,02
406,66;1,77;0,73;3,14;2,14;2,47;0,99
407,127;1,75;0,71;3,12;2,01;2,4;0,92
407,594;1,77;0,68;3,09;2,01;2,37;0,94
408,061;1,94;0,84;3,24;2,1;2,52;1,13
408,528;1,93;0,89;3,16;2,1;2,54;1,07
408,995;2,04;0,85;3,12;2,12;2,4;1,1
409,462;2,05;0,72;3,08;2,11;2,32;0,99
409,929;2,15;0,7;3,07;2,09;2,29;0,96
410,396;2,07;0,66;2,98;2,14;2,23;0,96
410,863;2,16;0,74;2,91;2,3;2,25;1,04
411,33;2,07;0,77;2,89;2,25;2,13;1,08
411,797;2,06;0,65;2,84;2,18;2,12;1,04
412,264;1,97;0,54;2,72;2,16;2,09;0,98
412,73;1,94;0,57;2,72;2,11;2,05;0,95
413,197;1,86;0,48;2,6;2,15;2;0,91
413,664;1,88;0,45;2,59;2,12;1,97;0,93
414,131;1,92;0,51;2,68;2,15;2,15;0,94
414,597;2,02;0,65;2,7;2,21;2,23;1,1
415,064;2,06;0,77;2,8;2,24;2,23;1,19
