"wl","X1.14","X2.14","X3.14","X4.14","X5.14","X6.14","X7.14","X8.14","X9.14","X10.14","X11.14","X12.14","X13.14","X14.14","X15.14","X16.14","X17.14","X18.14","X19.14","X20.14","X21.14","X22.14"
409,2.53226056345106,2.56081903969886,3.66654086299044,2.30441281225238,2.66789534480798,3.90302630353711,1.32612005602082,1.7419283270171,1.6235620327034,3.27590515575069,2.33866429126714,2.42876628304783,1.47847528850179,1.16315895289634,1.08155274131136,1.98733107168546,2.29658507075515,1.41994004608591,1.34652992370614,2.0725066213913,2.28547531276448,6.09114820923321
410,2.55534481226915,2.56211483285598,3.67730593960415,2.32141607290856,2.69310970445918,3.91936364263899,1.33551915138456,1.7524201913952,1.63368997962866,3.27915758290614,2.34634568575759,2.4446489509429,1.48587202961117,1.17037031555209,1.08321425147471,1.99848890667201,2.31438106675857,1.42096698824272,1.35360220964684,2.08541933505861,2.30335063637031,6.10050072247107
411,2.57830287794823,2.56351443335869,3.68864540214633,2.33901315207077,2.7185348124666,3.93680251816395,1.3443170868795,1.7625733349139,1.64374799337627,3.28258054042522,2.35413615527901,2.46056740043302,1.49289169344552,1.17708964303748,1.08515028104516,2.00900277889452,2.33305270901348,1.4222951258006,1.36038882532016,2.09805570948474,2.32019526848501,6.1093520030738
412,2.60094610673912,2.5650113483403,3.70056428761432,2.35718257201774,2.7440814850605,3.95540563396729,1.35222102760621,1.77221873527986,1.653593834082,3.28618843476423,2.361942563909,2.47646292246456,1.49941564712652,1.18316768098625,1.08738972140365,2.01863535865979,2.35272288579331,1.42400875634289,1.36669470020677,2.11018900018435,2.33566295655488,6.11751776098803
413,2.62308584489263,2.56659908493412,3.71306763300544,2.37590285502821,2.76966053847116,3.97523569390428,1.35893813866523,1.78118737019971,1.66308526188165,3.28999567237947,2.36967177572519,2.49227680798389,1.50532525777583,1.18845517503215,1.08996146393112,2.02714931627459,2.37351448537149,1.4261921774529,1.37232476378734,2.12159246267209,2.34940744802625,6.12481370616041
414,2.64545202890685,2.56822227502012,3.72667245146169,2.39593546725949,2.79690413951032,3.99640353356028,1.36549328215614,1.78985840532089,1.67292453240768,3.29379782919826,2.37787239205857,2.50785951114146,1.51018361632829,1.19296007885858,1.0928240881302,2.03472372594383,2.395846406856,1.42861001870583,1.37803667027724,2.13324194310008,2.36181847795569,6.13224355496408
415,2.66879710921155,2.56985547572361,3.74174882619321,2.41785834336781,2.82711898685489,4.0188742579273,1.37297385095835,1.79872455932842,1.68378328266085,3.29742420054514,2.38705040764812,2.52316731579644,1.51380015703588,1.19685115444046,1.0959115781002,2.04176665375956,2.41987346846442,1.4309985530733,1.38460883619217,2.14610691297612,2.37359830830639,6.14077387218347
416,2.69296620295504,2.57153708204594,3.75808139929957,2.44137470838024,2.85972769453289,4.04249197497063,1.38118080634219,1.80778713948544,1.69547334482931,3.3009397719721,2.39704877668344,2.53830025745828,1.51642576199601,1.20022035984882,1.09921593211702,2.04838425785929,2.44532243713451,1.43339954323329,1.39187733446333,2.15995106584841,2.38486947688458,6.15016464038217
417,2.71780442728563,2.57330548898844,3.77545481288032,2.46618778732387,2.89415287657234,4.06710079265556,1.389915109578,1.81704745305504,1.70780655110122,3.30440952903118,2.40771045335413,2.55335837163646,1.51831131330606,1.20315965315469,1.10272914845662,2.05468269638054,2.47192007980405,1.43585475186379,1.39967823802192,2.17453809526515,2.39575452149649,6.16017584212373
418,2.74315689935165,2.57519909155247,3.79365370903502,2.49200080522576,2.92981714700126,4.09254481894739,1.39897772193611,1.82650680730034,1.72059473366473,3.3078984572744,2.41887839184979,2.56844169384042,1.51970769306341,1.20576099242912,1.10644322539491,2.06076812746081,2.49939316341084,1.43840594164277,1.40784761979913,2.18963169477453,2.40637597994832,6.17056745997174
